<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.01.01	20:00:00	37763.9	37791.7	37762.5	37776.3	385	0	90
2024.01.02	00:00:00	37777.1	37790.5	37752.6	37775.9	1316	0	78
2024.01.02	04:00:00	37775.3	37812.9	37773.3	37796.9	1396	0	76
2024.01.02	08:00:00	37796.4	37863.5	37565.4	37598.1	7145	0	71
2024.01.02	12:00:00	37598.7	37746.8	37510.1	37725.5	13679	0	71
2024.01.02	16:00:00	37724.6	37819.9	37630.6	37633.2	11516	0	74
2024.01.02	20:00:00	37633.8	37767.5	37609.5	37763.1	4911	0	75
2024.01.03	00:00:00	37764.6	37766.7	37731.7	37731.7	1449	0	73
2024.01.03	04:00:00	37732.2	37737.1	37711.6	37724.9	1524	0	73
2024.01.03	08:00:00	37725.0	37756.8	37635.1	37649.1	7045	0	70
2024.01.03	12:00:00	37650.2	37664.7	37423.8	37465.4	12916	0	70
2024.01.03	16:00:00	37464.4	37636.9	37452.0	37579.9	15583	0	74
2024.01.03	20:00:00	37580.0	37580.0	37419.1	37473.5	5440	0	75
2024.01.04	00:00:00	37473.0	37500.0	37456.2	37481.0	1728	0	74
2024.01.04	04:00:00	37480.5	37505.1	37461.1	37488.0	1614	0	73
2024.01.04	08:00:00	37487.4	37529.6	37469.1	37488.9	6659	0	69
2024.01.04	12:00:00	37489.0	37655.8	37470.8	37637.5	12395	0	71
2024.01.04	16:00:00	37638.0	37734.3	37516.5	37562.6	12369	0	73
2024.01.04	20:00:00	37563.9	37575.8	37451.2	37515.3	5159	0	74
2024.01.05	00:00:00	37514.2	37528.8	37497.6	37498.2	1672	0	71
2024.01.05	04:00:00	37498.2	37513.0	37431.6	37443.8	2146	0	72
2024.01.05	08:00:00	37442.4	37468.1	37342.8	37382.0	6643	0	71
2024.01.05	12:00:00	37382.2	37635.9	37262.8	37570.4	15499	0	71
2024.01.05	16:00:00	37570.8	37592.8	37329.5	37399.4	16351	0	73
2024.01.05	20:00:00	37400.8	37514.8	37384.2	37474.5	3898	0	74
2024.01.07	20:00:00	37446.1	37480.1	37428.0	37443.7	695	0	80
2024.01.08	00:00:00	37443.0	37456.7	37341.1	37346.3	1829	0	79
2024.01.08	04:00:00	37346.3	37369.8	37339.7	37340.9	1839	0	74
2024.01.08	08:00:00	37341.9	37399.8	37244.0	37333.9	8076	0	73
2024.01.08	12:00:00	37334.5	37456.6	37268.2	37403.5	11031	0	73
2024.01.08	16:00:00	37404.8	37661.8	37367.6	37643.0	10008	0	74
2024.01.08	20:00:00	37642.4	37719.7	37622.5	37672.7	4632	0	74
2024.01.09	00:00:00	37672.2	37676.9	37650.5	37660.4	1463	0	74
2024.01.09	04:00:00	37661.0	37661.9	37636.6	37639.6	1590	0	75
2024.01.09	08:00:00	37640.9	37642.8	37530.2	37536.7	6801	0	71
2024.01.09	12:00:00	37538.5	37582.7	37386.5	37414.9	11917	0	71
2024.01.09	16:00:00	37413.6	37574.9	37412.6	37513.9	11638	0	73
2024.01.09	20:00:00	37514.8	37565.8	37478.5	37525.2	5352	0	74
2024.01.10	00:00:00	37526.6	37545.0	37490.5	37499.9	1945	0	75
2024.01.10	04:00:00	37500.8	37526.0	37480.6	37515.9	2012	0	74
2024.01.10	08:00:00	37516.7	37572.7	37487.1	37496.5	6395	0	69
2024.01.10	12:00:00	37495.6	37681.0	37493.3	37618.8	11015	0	70
2024.01.10	16:00:00	37619.8	37749.1	37561.5	37744.0	9922	0	74
2024.01.10	20:00:00	37742.5	37765.8	37622.4	37722.4	5432	0	75
2024.01.11	00:00:00	37721.4	37778.7	37714.4	37776.2	2017	0	74
2024.01.11	04:00:00	37776.2	37814.8	37765.4	37794.7	1938	0	73
2024.01.11	08:00:00	37795.0	37826.6	37699.0	37714.8	6490	0	70
2024.01.11	12:00:00	37714.2	37812.9	37434.4	37493.5	17564	0	71
2024.01.11	16:00:00	37493.8	37740.1	37415.6	37730.7	15970	0	73
2024.01.11	20:00:00	37731.7	37738.7	37647.0	37710.5	5457	0	74
2024.01.12	00:00:00	37709.4	37725.0	37668.4	37705.2	2896	0	72
2024.01.12	04:00:00	37704.6	37711.8	37642.9	37645.5	3037	0	72
2024.01.12	08:00:00	37646.0	37800.4	37447.6	37517.5	10305	0	71
2024.01.12	12:00:00	37518.2	37824.4	37466.5	37499.5	18459	0	72
2024.01.12	16:00:00	37499.4	37633.8	37476.6	37551.5	14066	0	73
2024.01.12	20:00:00	37551.5	37607.8	37532.6	37592.9	2966	0	75
2024.01.14	20:00:00	37561.8	37582.6	37532.7	37577.2	718	0	80
2024.01.15	00:00:00	37577.2	37632.8	37560.5	37625.0	2134	0	74
2024.01.15	04:00:00	37623.5	37641.0	37582.6	37584.9	1756	0	74
2024.01.15	08:00:00	37585.0	37613.7	37522.1	37543.9	8116	0	71
2024.01.15	12:00:00	37543.8	37604.0	37506.9	37584.5	7263	0	73
2024.01.15	16:00:00	37582.6	37599.4	37562.5	37583.8	1328	0	73
2024.01.15	20:00:00	37572.1	37584.5	37548.3	37551.7	434	0	79
2024.01.16	00:00:00	37552.7	37552.7	37478.5	37498.5	3302	0	73
2024.01.16	04:00:00	37499.9	37500.1	37440.6	37462.0	2636	0	73
2024.01.16	08:00:00	37460.5	37495.1	37396.1	37481.3	9074	0	70
2024.01.16	12:00:00	37480.7	37562.6	37324.6	37473.5	15646	0	70
2024.01.16	16:00:00	37474.0	37483.2	37203.5	37277.6	16542	0	74
2024.01.16	20:00:00	37276.5	37376.7	37268.5	37368.7	4052	0	74
2024.01.17	00:00:00	37368.2	37370.6	37285.5	37288.6	2716	0	72
2024.01.17	04:00:00	37289.1	37317.0	37210.5	37243.9	4125	0	73
2024.01.17	08:00:00	37242.4	37274.5	37184.6	37221.8	8568	0	70
2024.01.17	12:00:00	37221.2	37345.7	37156.6	37328.5	15094	0	70
2024.01.17	16:00:00	37329.1	37379.0	37136.1	37223.5	11775	0	73
2024.01.17	20:00:00	37224.0	37306.1	37165.6	37280.3	4434	0	73
2024.01.18	00:00:00	37280.9	37291.0	37246.6	37249.5	2774	0	72
2024.01.18	04:00:00	37248.6	37277.0	37226.6	37264.7	2722	0	73
2024.01.18	08:00:00	37263.4	37338.5	37238.5	37243.6	7394	0	69
2024.01.18	12:00:00	37244.9	37289.8	37127.0	37218.4	14160	0	70
2024.01.18	16:00:00	37218.0	37440.7	37155.4	37415.0	13803	0	73
2024.01.18	20:00:00	37415.9	37529.1	37410.5	37482.7	5090	0	74
2024.01.19	00:00:00	37481.4	37484.9	37417.6	37456.1	2793	0	72
2024.01.19	04:00:00	37455.6	37511.0	37427.6	37493.9	2421	0	72
2024.01.19	08:00:00	37493.4	37617.1	37472.3	37609.9	7243	0	69
2024.01.19	12:00:00	37608.4	37715.5	37454.7	37599.6	14768	0	71
2024.01.19	16:00:00	37600.9	37950.7	37575.4	37894.5	12602	0	75
2024.01.19	20:00:00	37894.4	37911.5	37839.5	37853.5	3383	0	75
2024.01.21	20:00:00	37910.6	37948.0	37904.8	37918.8	781	0	79
2024.01.22	00:00:00	37917.3	37990.7	37907.2	37939.4	3120	0	73
2024.01.22	04:00:00	37940.8	37949.9	37897.0	37923.4	2536	0	74
2024.01.22	08:00:00	37922.4	37958.2	37900.7	37929.3	6271	0	70
2024.01.22	12:00:00	37928.7	38136.8	37928.7	38063.7	12065	0	70
2024.01.22	16:00:00	38065.7	38067.7	37932.5	37999.5	11104	0	73
2024.01.22	20:00:00	38000.9	38044.9	37982.7	38018.4	3921	0	73
2024.01.23	00:00:00	38018.8	38044.9	38001.5	38016.9	2873	0	73
2024.01.23	04:00:00	38017.1	38045.0	38015.7	38037.9	2287	0	72
2024.01.23	08:00:00	38036.5	38049.8	37949.6	37976.6	6512	0	69
2024.01.23	12:00:00	37976.0	38022.0	37867.7	37872.9	10638	0	71
2024.01.23	16:00:00	37873.9	37933.9	37817.6	37925.0	8454	0	72
2024.01.23	20:00:00	37925.9	37963.8	37899.4	37960.3	3928	0	73
2024.01.24	00:00:00	37958.3	37959.0	37932.5	37947.5	1772	0	72
2024.01.24	04:00:00	37948.1	37999.0	37946.6	37981.7	1950	0	72
2024.01.24	08:00:00	37982.0	38026.3	37958.7	38013.2	5836	0	69
2024.01.24	12:00:00	38013.7	38100.1	37946.6	38013.9	11983	0	70
2024.01.24	16:00:00	38014.9	38084.8	37874.5	37925.9	13084	0	74
2024.01.24	20:00:00	37924.6	37942.6	37800.3	37873.0	5538	0	73
2024.01.25	00:00:00	37873.9	37910.9	37861.8	37888.4	2425	0	74
2024.01.25	04:00:00	37888.4	37942.7	37887.6	37918.9	2146	0	74
2024.01.25	08:00:00	37919.0	37942.6	37783.4	37834.9	6789	0	70
2024.01.25	12:00:00	37835.2	38050.8	37766.1	37865.4	14935	0	73
2024.01.25	16:00:00	37864.6	37942.8	37805.6	37925.0	14847	0	72
2024.01.25	20:00:00	37925.0	38070.7	37897.4	37991.2	5297	0	74
2024.01.26	00:00:00	37988.8	38003.1	37970.6	37982.2	2026	0	71
2024.01.26	04:00:00	37982.2	37982.2	37910.4	37921.9	2906	0	71
2024.01.26	08:00:00	37921.9	38024.6	37919.3	38000.6	6158	0	69
2024.01.26	12:00:00	38001.9	38232.9	37962.6	38214.0	14281	0	71
2024.01.26	16:00:00	38213.6	38219.9	38034.5	38134.5	11276	0	74
