Date,Open,High,Low,Close,Volume
2023-01-01 00:00:00,1.25007,1.25012,1.25,1.25008,1058
2023-01-01 00:01:00,1.25005,1.2502,1.24997,1.25013,608
2023-01-01 00:02:00,1.25015,1.25028,1.25012,1.25027,1238
2023-01-01 00:03:00,1.25038,1.25043,1.25023,1.25037,1017
2023-01-01 00:04:00,1.25034,1.2505,1.25024,1.25041,797
2023-01-01 00:05:00,1.25031,1.2505,1.25017,1.25039,1163
2023-01-01 00:06:00,1.25055,1.25063,1.2505,1.25056,844
2023-01-01 00:07:00,1.25066,1.25088,1.2506,1.25081,790
2023-01-01 00:08:00,1.25059,1.25072,1.25054,1.25067,551
2023-01-01 00:09:00,1.25067,1.25073,1.2505,1.25063,703
2023-01-01 00:10:00,1.2506,1.2507,1.25051,1.25062,1250
2023-01-01 00:11:00,1.25053,1.25066,1.2505,1.2506,1185
2023-01-01 00:12:00,1.25057,1.25076,1.25049,1.25071,859
2023-01-01 00:13:00,1.25028,1.25042,1.2502,1.25033,1191
2023-01-01 00:14:00,1.25002,1.25019,1.24989,1.25004,1029
2023-01-01 00:15:00,1.24994,1.25008,1.2499,1.25003,1273
2023-01-01 00:16:00,1.24979,1.2498,1.24973,1.24977,1052
2023-01-01 00:17:00,1.24983,1.24986,1.24974,1.24976,788
2023-01-01 00:18:00,1.2497,1.24984,1.24968,1.24975,1032
2023-01-01 00:19:00,1.24949,1.24957,1.24944,1.24946,714
2023-01-01 00:20:00,1.24971,1.24993,1.2497,1.24991,1645
2023-01-01 00:21:00,1.24967,1.24975,1.24964,1.24969,1155
2023-01-01 00:22:00,1.24968,1.24986,1.24964,1.24974,1005
2023-01-01 00:23:00,1.24947,1.24954,1.24934,1.24942,968
2023-01-01 00:24:00,1.24939,1.2496,1.24935,1.24948,248
2023-01-01 00:25:00,1.2494,1.24941,1.24926,1.2494,885
2023-01-01 00:26:00,1.24923,1.2493,1.24921,1.24922,821
2023-01-01 00:27:00,1.24929,1.24941,1.24922,1.24928,880
2023-01-01 00:28:00,1.2492,1.24929,1.24907,1.2491,925
2023-01-01 00:29:00,1.24915,1.24917,1.24913,1.24913,1064
2023-01-01 00:30:00,1.24906,1.24924,1.24901,1.2491,974
2023-01-01 00:31:00,1.24934,1.24937,1.24912,1.24923,1110
2023-01-01 00:32:00,1.24934,1.24952,1.2492,1.24942,1672
2023-01-01 00:33:00,1.24918,1.24919,1.24916,1.24916,914
2023-01-01 00:34:00,1.2493,1.2494,1.24918,1.24932,888
2023-01-01 00:35:00,1.24912,1.24917,1.24893,1.24895,417
2023-01-01 00:36:00,1.24915,1.24932,1.2491,1.24917,636
2023-01-01 00:37:00,1.24886,1.24899,1.24868,1.24878,1046
2023-01-01 00:38:00,1.24866,1.24873,1.24859,1.24863,854
2023-01-01 00:39:00,1.24869,1.24882,1.24843,1.24857,919
2023-01-01 00:40:00,1.2488,1.24884,1.24865,1.24873,807
2023-01-01 00:41:00,1.24883,1.2489,1.24872,1.24881,267
2023-01-01 00:42:00,1.24881,1.24893,1.24876,1.24879,1319
2023-01-01 00:43:00,1.24876,1.24893,1.2487,1.24883,1064
2023-01-01 00:44:00,1.24854,1.24861,1.2484,1.2484,1035
2023-01-01 00:45:00,1.24843,1.24851,1.24835,1.24843,925
2023-01-01 00:46:00,1.24836,1.24841,1.24828,1.24836,853
2023-01-01 00:47:00,1.24852,1.24861,1.24843,1.24849,1230
2023-01-01 00:48:00,1.24857,1.24859,1.24842,1.24851,525
2023-01-01 00:49:00,1.24831,1.24851,1.2482,1.24839,644
