Date,Open,High,Low,Close,Volume
2023-01-01 00:00:00,110.055,110.142,109.913,109.931,1075
2023-01-01 00:15:00,110.039,110.043,109.908,109.923,1179
2023-01-01 00:30:00,110.111,110.217,110.008,110.077,1311
2023-01-01 00:45:00,110.278,110.362,110.245,110.304,917
2023-01-01 01:00:00,110.253,110.286,110.099,110.101,1054
2023-01-01 01:15:00,110.227,110.267,110.101,110.199,605
2023-01-01 01:30:00,110.401,110.408,110.347,110.372,1041
2023-01-01 01:45:00,110.486,110.672,110.383,110.562,1149
2023-01-01 02:00:00,110.434,110.438,110.333,110.413,1154
2023-01-01 02:15:00,110.494,110.587,110.41,110.515,1319
2023-01-01 02:30:00,110.443,110.499,110.42,110.45,767
2023-01-01 02:45:00,110.391,110.496,110.248,110.274,840
2023-01-01 03:00:00,110.418,110.488,110.36,110.46,1568
2023-01-01 03:15:00,110.207,110.277,110.188,110.219,954
2023-01-01 03:30:00,110.017,110.098,109.983,110.045,1060
2023-01-01 03:45:00,109.955,110.248,109.92,110.171,979
2023-01-01 04:00:00,109.844,109.851,109.712,109.729,753
2023-01-01 04:15:00,109.878,109.994,109.856,109.973,1487
2023-01-01 04:30:00,109.779,109.802,109.676,109.763,841
2023-01-01 04:45:00,109.624,109.72,109.605,109.639,661
2023-01-01 05:00:00,109.784,109.805,109.779,109.782,864
2023-01-01 05:15:00,109.76,109.823,109.667,109.736,399
2023-01-01 05:30:00,109.767,109.791,109.629,109.736,804
2023-01-01 05:45:00,109.611,109.723,109.575,109.629,709
2023-01-01 06:00:00,109.551,109.655,109.455,109.468,1185
2023-01-01 06:15:00,109.564,109.662,109.501,109.605,797
2023-01-01 06:30:00,109.438,109.476,109.316,109.415,1266
2023-01-01 06:45:00,109.479,109.504,109.331,109.417,1419
2023-01-01 07:00:00,109.413,109.419,109.32,109.389,1234
2023-01-01 07:15:00,109.381,109.48,109.347,109.45,935
2023-01-01 07:30:00,109.316,109.387,109.227,109.286,1042
2023-01-01 07:45:00,109.518,109.596,109.508,109.538,542
2023-01-01 08:00:00,109.517,109.62,109.403,109.477,959
2023-01-01 08:15:00,109.401,109.486,109.322,109.443,741
2023-01-01 08:30:00,109.491,109.605,109.386,109.529,1208
2023-01-01 08:45:00,109.358,109.512,109.329,109.459,1771
2023-01-01 09:00:00,109.381,109.437,109.369,109.371,1149
2023-01-01 09:15:00,109.167,109.232,109.107,109.203,402
2023-01-01 09:30:00,109.022,109.077,108.945,109.027,891
2023-01-01 09:45:00,109.043,109.165,108.957,109.114,1036
2023-01-01 10:00:00,109.124,109.201,109.064,109.085,1026
2023-01-01 10:15:00,109.143,109.286,109.114,109.184,780
2023-01-01 10:30:00,109.13,109.166,109.064,109.12,1073
2023-01-01 10:45:00,109.098,109.102,109.058,109.094,627
2023-01-01 11:00:00,108.937,108.996,108.843,108.942,716
2023-01-01 11:15:00,108.858,108.931,108.807,108.872,1193
2023-01-01 11:30:00,108.808,108.827,108.715,108.802,695
2023-01-01 11:45:00,108.924,109.018,108.86,108.935,1161
2023-01-01 12:00:00,108.961,109.155,108.877,109.047,589
2023-01-01 12:15:00,108.769,108.926,108.733,108.823,1529
2023-01-01 12:30:00,108.805,108.873,108.714,108.852,767
2023-01-01 12:45:00,108.763,108.858,108.708,108.738,932
2023-01-01 13:00:00,108.69,108.766,108.582,108.641,1099
2023-01-01 13:15:00,108.756,108.858,108.733,108.808,830
2023-01-01 13:30:00,108.869,108.975,108.817,108.916,1043
2023-01-01 13:45:00,108.97,109.143,108.935,109.05,1172
2023-01-01 14:00:00,108.879,108.931,108.817,108.846,1288
2023-01-01 14:15:00,108.845,108.886,108.728,108.833,1237
2023-01-01 14:30:00,108.882,108.935,108.775,108.792,948
2023-01-01 14:45:00,108.988,109.051,108.881,108.967,956
2023-01-01 15:00:00,108.936,109.011,108.829,108.99,1704
2023-01-01 15:15:00,108.916,109.014,108.888,108.891,1284
2023-01-01 15:30:00,108.796,108.904,108.72,108.831,723
2023-01-01 15:45:00,108.666,108.735,108.628,108.655,1029
2023-01-01 16:00:00,108.754,108.783,108.75,108.772,899
2023-01-01 16:15:00,108.902,108.968,108.796,108.839,959
2023-01-01 16:30:00,108.894,108.912,108.793,108.899,631
2023-01-01 16:45:00,109.004,109.012,108.84,108.841,876
2023-01-01 17:00:00,109.043,109.101,108.969,109.033,1543
2023-01-01 17:15:00,108.973,109.017,108.83,108.884,1173
2023-01-01 17:30:00,109.013,109.143,108.918,109.079,252
2023-01-01 17:45:00,109.181,109.233,109.172,109.223,1365
2023-01-01 18:00:00,109.177,109.25,109.103,109.203,1326
2023-01-01 18:15:00,109.348,109.45,109.274,109.431,892
2023-01-01 18:30:00,109.062,109.17,108.937,109.01,1215
2023-01-01 18:45:00,109.152,109.308,109.049,109.247,742
2023-01-01 19:00:00,109.161,109.287,109.072,109.212,858
2023-01-01 19:15:00,109.129,109.164,109.111,109.116,1449
2023-01-01 19:30:00,109.139,109.212,109.088,109.201,918
2023-01-01 19:45:00,108.922,109.029,108.819,108.862,439
2023-01-01 20:00:00,108.899,108.93,108.82,108.854,981
2023-01-01 20:15:00,108.938,108.984,108.856,108.905,976
2023-01-01 20:30:00,109.099,109.17,109.028,109.07,1359
2023-01-01 20:45:00,109.043,109.045,108.938,108.985,1004
2023-01-01 21:00:00,108.955,109.11,108.848,109.021,873
2023-01-01 21:15:00,108.9,108.959,108.877,108.886,1313
2023-01-01 21:30:00,109.0,109.05,108.9,109.019,1036
2023-01-01 21:45:00,109.036,109.043,108.953,109.005,774
2023-01-01 22:00:00,108.979,108.996,108.812,108.879,1346
2023-01-01 22:15:00,109.035,109.147,108.944,109.05,1058
2023-01-01 22:30:00,109.046,109.12,108.902,108.941,1000
2023-01-01 22:45:00,109.151,109.179,109.101,109.148,1053
2023-01-01 23:00:00,109.075,109.082,108.956,109.0,678
2023-01-01 23:15:00,109.039,109.223,108.999,109.148,841
